fixture_key,competition,season,split,source_date,source_time,source_time_semantics,kickoff_utc,kickoff_utc_status,home_team,away_team,home_goals,away_goals,result,outcome_usage,avg_close_home,avg_close_draw,avg_close_away,close_source_class,open_price_status,goldbet_status,source_row_sha256,home_elo_pre,away_elo_pre,elo_diff,form_ppg_diff,goal_balance_diff,venue_ppg_diff,opponent_elo_diff,home_prior_matches,away_prior_matches,same_date_information_used
3bd88bec7ea6880b4301f129,Bundesliga,2022/2023,DEVELOPMENT,2022-08-05,19:30,MATCH_KICKOFF_TIME_TIMEZONE_NOT_STATED_BY_SOURCE,,NOT_VERIFIED_DO_NOT_INFER,Ein Frankfurt,Bayern Munich,1,6,A,EVALUATION_ONLY_JOIN_AFTER_PREMATCH_FEATURE_FREEZE,5.97,5.08,1.47,EXTERNAL_HISTORICAL_MARKET_BENCHMARK,NOT_AVAILABLE,NOT_GOLDBET,9868ce4fa67ed2e8a123fe3980d477724b19b0109f755bf120ff42ed4cbda542,1500.0,1500.0,0.0,,,,,0,0,False
d0f82f30904df5c4d064aff9,Bundesliga,2022/2023,DEVELOPMENT,2022-08-06,14:30,MATCH_KICKOFF_TIME_TIMEZONE_NOT_STATED_BY_SOURCE,,NOT_VERIFIED_DO_NOT_INFER,Augsburg,Freiburg,0,4,A,EVALUATION_ONLY_JOIN_AFTER_PREMATCH_FEATURE_FREEZE,3.46,3.51,2.14,EXTERNAL_HISTORICAL_MARKET_BENCHMARK,NOT_AVAILABLE,NOT_GOLDBET,ed40e82cd900bacf152e0d8b7fb256b64dd602ec4273b7753451cca1e69ec2e1,1500.0,1500.0,0.0,,,,,0,0,False
0552c966562eec2c1a4e73e1,Bundesliga,2022/2023,DEVELOPMENT,2022-08-06,14:30,MATCH_KICKOFF_TIME_TIMEZONE_NOT_STATED_BY_SOURCE,,NOT_VERIFIED_DO_NOT_INFER,Bochum,Mainz,1,2,A,EVALUATION_ONLY_JOIN_AFTER_PREMATCH_FEATURE_FREEZE,3.31,3.43,2.23,EXTERNAL_HISTORICAL_MARKET_BENCHMARK,NOT_AVAILABLE,NOT_GOLDBET,f933890a25b423662aa00c05b246824e58984d95a26a61df4b73613ba0245020,1500.0,1500.0,0.0,,,,,0,0,False
7defdd91fbe9d27046195410,Bundesliga,2022/2023,DEVELOPMENT,2022-08-06,14:30,MATCH_KICKOFF_TIME_TIMEZONE_NOT_STATED_BY_SOURCE,,NOT_VERIFIED_DO_NOT_INFER,M'gladbach,Hoffenheim,3,1,H,EVALUATION_ONLY_JOIN_AFTER_PREMATCH_FEATURE_FREEZE,2.05,3.97,3.31,EXTERNAL_HISTORICAL_MARKET_BENCHMARK,NOT_AVAILABLE,NOT_GOLDBET,9e98db997aead07f20ca4d5045cd7283ede595480b47268ed7ad2d82b89b33da,1500.0,1500.0,0.0,,,,,0,0,False
33f9f92aebc20d3a7de15c7e,Bundesliga,2022/2023,DEVELOPMENT,2022-08-06,14:30,MATCH_KICKOFF_TIME_TIMEZONE_NOT_STATED_BY_SOURCE,,NOT_VERIFIED_DO_NOT_INFER,Union Berlin,Hertha,3,1,H,EVALUATION_ONLY_JOIN_AFTER_PREMATCH_FEATURE_FREEZE,1.87,3.62,4.3,EXTERNAL_HISTORICAL_MARKET_BENCHMARK,NOT_AVAILABLE,NOT_GOLDBET,26c005dfb58e2506f4fbbb0014fa48f462fdc68573583453a092c1f217c8d988,1500.0,1500.0,0.0,,,,,0,0,False
a19fa12e93685d3039e97074,Bundesliga,2022/2023,DEVELOPMENT,2022-08-06,14:30,MATCH_KICKOFF_TIME_TIMEZONE_NOT_STATED_BY_SOURCE,,NOT_VERIFIED_DO_NOT_INFER,Wolfsburg,Werder Bremen,2,2,D,EVALUATION_ONLY_JOIN_AFTER_PREMATCH_FEATURE_FREEZE,2.08,3.63,3.5,EXTERNAL_HISTORICAL_MARKET_BENCHMARK,NOT_AVAILABLE,NOT_GOLDBET,7a8379d300ce221d8b3a7ecc9e64d3dabe853aa2bd37dced3eae5e6549e81207,1500.0,1500.0,0.0,,,,,0,0,False
2ef999128e703a5a621f7fd8,Bundesliga,2022/2023,DEVELOPMENT,2022-08-06,17:30,MATCH_KICKOFF_TIME_TIMEZONE_NOT_STATED_BY_SOURCE,,NOT_VERIFIED_DO_NOT_INFER,Dortmund,Leverkusen,1,0,H,EVALUATION_ONLY_JOIN_AFTER_PREMATCH_FEATURE_FREEZE,2.05,3.98,3.26,EXTERNAL_HISTORICAL_MARKET_BENCHMARK,NOT_AVAILABLE,NOT_GOLDBET,1a8c06d03afe413c04595d7cf325637eb186cec04d20643b6d4585f365233913,1500.0,1500.0,0.0,,,,,0,0,False
1cc7f0f2f779ac82950b6a65,Bundesliga,2022/2023,DEVELOPMENT,2022-08-07,14:30,MATCH_KICKOFF_TIME_TIMEZONE_NOT_STATED_BY_SOURCE,,NOT_VERIFIED_DO_NOT_INFER,Stuttgart,RB Leipzig,1,1,D,EVALUATION_ONLY_JOIN_AFTER_PREMATCH_FEATURE_FREEZE,3.79,3.72,1.96,EXTERNAL_HISTORICAL_MARKET_BENCHMARK,NOT_AVAILABLE,NOT_GOLDBET,adf356c71ebf10c290cd6d132913b7590c7ba8548dc54fbf3ea8c0e6a3bfa79d,1500.0,1500.0,0.0,,,,,0,0,False
5adefeb547448f20e0a9c939,Bundesliga,2022/2023,DEVELOPMENT,2022-08-07,16:30,MATCH_KICKOFF_TIME_TIMEZONE_NOT_STATED_BY_SOURCE,,NOT_VERIFIED_DO_NOT_INFER,FC Koln,Schalke 04,3,1,H,EVALUATION_ONLY_JOIN_AFTER_PREMATCH_FEATURE_FREEZE,2.01,3.67,3.65,EXTERNAL_HISTORICAL_MARKET_BENCHMARK,NOT_AVAILABLE,NOT_GOLDBET,27dfaba017f8f204df721cd4190bd115896b0b931e6699537e72e68573648ab9,1500.0,1500.0,0.0,,,,,0,0,False
751308c9f1ca90820b155978,Bundesliga,2022/2023,DEVELOPMENT,2022-08-12,19:30,MATCH_KICKOFF_TIME_TIMEZONE_NOT_STATED_BY_SOURCE,,NOT_VERIFIED_DO_NOT_INFER,Freiburg,Dortmund,1,3,A,EVALUATION_ONLY_JOIN_AFTER_PREMATCH_FEATURE_FREEZE,2.98,3.7,2.3,EXTERNAL_HISTORICAL_MARKET_BENCHMARK,NOT_AVAILABLE,NOT_GOLDBET,324ff73ccc396ffbe7694e11febc17f4a90620228108d35330fb5547e3143f3f,1511.7099735734362,1508.2900264265638,3.419947146872346,0.0,3.0,,0.0,1,1,False
d8de872a2d7ecec9a6e390d6,Bundesliga,2022/2023,DEVELOPMENT,2022-08-13,14:30,MATCH_KICKOFF_TIME_TIMEZONE_NOT_STATED_BY_SOURCE,,NOT_VERIFIED_DO_NOT_INFER,Hertha,Ein Frankfurt,1,1,D,EVALUATION_ONLY_JOIN_AFTER_PREMATCH_FEATURE_FREEZE,3.02,3.61,2.3,EXTERNAL_HISTORICAL_MARKET_BENCHMARK,NOT_AVAILABLE,NOT_GOLDBET,3838a0d0670d2ea881035053b29a03e899e3396e1be1d5bd7993171a33dd6b50,1491.7099735734362,1488.2900264265638,3.419947146872346,0.0,3.0,,0.0,1,1,False
c06a763f1143efc154faab39,Bundesliga,2022/2023,DEVELOPMENT,2022-08-13,14:30,MATCH_KICKOFF_TIME_TIMEZONE_NOT_STATED_BY_SOURCE,,NOT_VERIFIED_DO_NOT_INFER,Hoffenheim,Bochum,3,2,H,EVALUATION_ONLY_JOIN_AFTER_PREMATCH_FEATURE_FREEZE,1.58,4.5,5.29,EXTERNAL_HISTORICAL_MARKET_BENCHMARK,NOT_AVAILABLE,NOT_GOLDBET,f457ab001e5b951579c235535ef04980f378c4561619398f0b1626962cdbc46a,1491.7099735734362,1488.2900264265638,3.419947146872346,0.0,-1.0,,0.0,1,1,False
ce8d4da8997385bbcb784e4d,Bundesliga,2022/2023,DEVELOPMENT,2022-08-13,14:30,MATCH_KICKOFF_TIME_TIMEZONE_NOT_STATED_BY_SOURCE,,NOT_VERIFIED_DO_NOT_INFER,Leverkusen,Augsburg,1,2,A,EVALUATION_ONLY_JOIN_AFTER_PREMATCH_FEATURE_FREEZE,1.31,6.01,9.15,EXTERNAL_HISTORICAL_MARKET_BENCHMARK,NOT_AVAILABLE,NOT_GOLDBET,7b4fbb132971c84b7597bdf2eb52d75971d39664e5ee34dfcc78f9fc2e1777ce,1491.7099735734362,1488.2900264265638,3.419947146872346,0.0,3.0,,0.0,1,1,False
eaf1fa56fc02116c5020e105,Bundesliga,2022/2023,DEVELOPMENT,2022-08-13,14:30,MATCH_KICKOFF_TIME_TIMEZONE_NOT_STATED_BY_SOURCE,,NOT_VERIFIED_DO_NOT_INFER,RB Leipzig,FC Koln,2,2,D,EVALUATION_ONLY_JOIN_AFTER_PREMATCH_FEATURE_FREEZE,1.44,4.98,6.78,EXTERNAL_HISTORICAL_MARKET_BENCHMARK,NOT_AVAILABLE,NOT_GOLDBET,b86288dcd5b1d1a1832206d2ebc71b7e7b2f635eb3e717f4c9d835b31f41e06c,1501.7099735734362,1508.2900264265638,-6.580052853127654,-2.0,-2.0,,0.0,1,1,False
f992b4f3dbcc886245107e7f,Bundesliga,2022/2023,DEVELOPMENT,2022-08-13,14:30,MATCH_KICKOFF_TIME_TIMEZONE_NOT_STATED_BY_SOURCE,,NOT_VERIFIED_DO_NOT_INFER,Werder Bremen,Stuttgart,2,2,D,EVALUATION_ONLY_JOIN_AFTER_PREMATCH_FEATURE_FREEZE,2.3,3.6,3.04,EXTERNAL_HISTORICAL_MARKET_BENCHMARK,NOT_AVAILABLE,NOT_GOLDBET,97c3d38128b0608a9f6cae4d2be9ff2a6854cdb09bbe6d7d53356f976322d0a0,1501.7099735734362,1498.2900264265638,3.419947146872346,0.0,0.0,,0.0,1,1,False
5ffa044300f2e03775a0848d,Bundesliga,2022/2023,DEVELOPMENT,2022-08-13,17:30,MATCH_KICKOFF_TIME_TIMEZONE_NOT_STATED_BY_SOURCE,,NOT_VERIFIED_DO_NOT_INFER,Schalke 04,M'gladbach,2,2,D,EVALUATION_ONLY_JOIN_AFTER_PREMATCH_FEATURE_FREEZE,3.21,3.74,2.13,EXTERNAL_HISTORICAL_MARKET_BENCHMARK,NOT_AVAILABLE,NOT_GOLDBET,d542187e49501cb07990a295e054e762831945d8f80702a202a2fbf3ab3bc422,1491.7099735734362,1508.2900264265638,-16.580052853127654,-3.0,-4.0,,0.0,1,1,False
03c8d62a09975e07f9de58a5,Bundesliga,2022/2023,DEVELOPMENT,2022-08-14,14:30,MATCH_KICKOFF_TIME_TIMEZONE_NOT_STATED_BY_SOURCE,,NOT_VERIFIED_DO_NOT_INFER,Mainz,Union Berlin,0,0,D,EVALUATION_ONLY_JOIN_AFTER_PREMATCH_FEATURE_FREEZE,2.26,3.3,3.38,EXTERNAL_HISTORICAL_MARKET_BENCHMARK,NOT_AVAILABLE,NOT_GOLDBET,a712efbd70317d5acc6098c811817e20f47dc24d98e80136a6d2de39c19fa1bc,1511.7099735734362,1508.2900264265638,3.419947146872346,0.0,-1.0,,0.0,1,1,False
